"","2","5","10"
"1",119871.459454279,119709.519657233,121802.498234481
"2",117694.903798481,117817.293450915,115963.794269828
"3",122364.041317104,115583.179986244,115883.669286269
"4",122114.890499104,124371.828999495,114667.298929444
"5",125231.509199441,127168.71827088,121667.062274148
"6",126878.455029485,117177.081122921,121207.500135746
"7",124394.245638083,118989.551399083,118884.573230462
"8",125892.300780696,122967.22534049,120103.956152592
"9",118311.520604073,115800.048055891,115616.624620271
"10",115684.8821463,116875.973978279,119883.939821957
"11",109488.885055088,120404.039814578,121551.039989873
"12",131682.202103143,118681.301516666,114526.11192794
"13",121958.804535827,120686.984608237,119205.285053835
"14",130994.052158162,118002.186775076,118648.60832019
"15",118036.229027922,125195.194966573,116192.831819878
"16",127778.538175992,120257.623340455,121244.608444003
"17",122781.544793499,123487.581334713,115174.956086494
"18",120801.115603559,123648.425692189,121477.727787292
"19",124270.195772792,121482.491098818,120552.636042444
"20",120784.719677122,116621.133545879,120008.168005696
"21",123672.927220747,123422.940848234,117584.875443075
"22",116481.992387015,118962.523642806,117273.258997644
"23",117546.116324152,119697.172667868,123551.257115839
"24",129614.107986947,126351.892298427,119164.473045971
"25",117114.512624008,118099.049736914,118945.40241497
"26",117871.773589357,125114.511307568,119321.765745214
"27",125473.71436389,118325.621183343,117390.252918668
"28",124874.668522466,115996.428956218,118689.942710486
"29",120568.387493713,117753.785072938,125191.443696563
"30",126111.491863625,121958.440222887,119308.206864948
